"Index" "MSFUCDIS" "MSFUCSTA" "MSFUENR" "MSFUFNCL" "MSFUHC" "MSFUIND" "MSFUIT" "MSFUMAT" "MSFUTEL" "MSFUUTI"
2011-12-30 568.241 439.247 683.36 292.05 507.295 180.056 215.214 482.277 224.686 284.214
2012-01-31 617.726 458.895 790.615 330.486 560.838 202.804 238.095 554.529 231.04 307.668
2012-02-29 644.68 482.733 833.349 350.452 580.376 220.444 257.942 578.54 241.848 329.191
2012-03-30 635.725 493.653 770.623 332.124 582.052 212.151 260.369 536.2 241.861 319.141
2012-04-30 648.309 495.28 744.282 326.857 577.39 204.787 259.45 514.022 245.559 309.674
2012-05-31 563.632 446.787 617.221 293.205 544.452 184.53 233.535 451.442 216.924 275.247
2012-06-29 570.927 472.815 630.436 304.204 575.265 189.091 236.291 468.895 231.185 292.655
2012-07-31 588.381 478.351 643.633 312.334 592.325 190.369 236.049 463.289 243.114 293.205
2012-08-31 597.834 482.417 652.899 308.811 608.312 186.87 237.451 447.402 238.624 288.425
2012-09-28 627.482 503.939 695.547 324.722 637.184 197.021 258.035 488.52 245.299 289.289
2012-10-31 620.544 512.773 680.899 328.428 652.157 195.297 250.967 480.074 240.581 287.051
2012-11-30 629.553 524.579 665.504 336.021 636.543 195.313 266.65 475.282 238.339 281.882
2012-12-31 651.247 540.121 700.361 356.334 667.374 206.808 271.853 513.83 246.26 290.928
2013-01-31 639.735 549.762 709.305 371.653 662.12 208.815 270.551 510.17 246.245 298.684
2013-02-28 649.377 546.884 668.57 366.851 669.117 209.783 279.443 486.582 237.547 296.004
2013-03-29 634.397 548.67 658.413 361.712 683.733 203.81 274.157 461.416 232.678 295.681
2013-04-30 634.067 565.395 649.774 365.277 708.723 199.525 278.547 446.123 239.298 300.383
2013-05-31 637.396 546.179 619.499 352.727 692.062 198.044 282.063 415.119 230.252 278.846
2013-06-28 611.567 524.101 566.6 320.677 677.076 184.184 263.104 378.352 230.33 260.653
2013-07-31 628.422 519.933 585.399 319.956 698.801 187.443 262.541 382.166 232.444 260.579
2013-08-30 622.011 486.068 583.042 306.929 652.805 182.621 271.036 388.5 224.648 248.716
2013-09-30 663.901 520.247 622.586 329.413 690.305 196.145 282.958 409.96 233.916 262.45
2013-10-31 693.901 529.893 656.523 348.974 726.711 202.128 301.084 426.414 238.221 276.444
