,Daily Global Risk Appetite,Equity-Only Risk Appetite,US Credit Risk Appetite (New)
02/04/1998,-1.81,-2.84,NA
03/04/1998,-1.9,-2.91,NA
06/04/1998,-1.81,-2.86,NA
07/04/1998,-1.75,-2.76,NA
08/04/1998,-1.71,-2.7,NA
09/04/1998,-1.65,-2.7,NA
10/04/1998,-1.63,-2.67,NA
13/04/1998,-1.52,-2.57,NA
14/04/1998,-1.48,-2.56,NA
15/04/1998,-1.41,-2.51,NA
16/04/1998,-1.37,-2.38,NA
17/04/1998,-1.36,-2.45,NA
20/04/1998,-1.28,-2.42,NA
21/04/1998,-1.17,-2.34,NA
22/04/1998,-1.15,-2.34,NA
23/04/1998,-1.13,-2.27,NA
24/04/1998,-1.09,-2.21,NA
27/04/1998,-1.15,-2.17,NA
28/04/1998,-1.02,-2.08,NA
29/04/1998,-0.96,-2.09,NA
30/04/1998,-0.83,-2.1,NA
01/05/1998,-0.74,-2.05,NA
04/05/1998,-0.62,-2,NA
05/05/1998,-0.59,-1.94,NA
06/05/1998,-0.68,-1.97,NA
07/05/1998,-0.67,-1.91,NA
08/05/1998,-0.61,-1.93,NA
11/05/1998,-0.53,-1.92,NA
12/05/1998,-0.64,-2.02,NA
13/05/1998,-0.79,-2.19,NA
14/05/1998,-0.77,-2.16,NA
15/05/1998,-0.72,-2.04,NA
18/05/1998,-0.94,-2.18,NA
19/05/1998,-0.87,-2.15,NA
20/05/1998,-0.75,-2.03,NA
21/05/1998,-0.61,-1.86,NA
22/05/1998,-0.62,-1.82,NA
25/05/1998,-0.7,-1.9,NA
26/05/1998,-0.79,-1.89,NA
27/05/1998,-1.02,-2.07,NA
28/05/1998,-0.96,-2.02,NA
29/05/1998,-0.92,-1.91,NA
01/06/1998,-1.11,-2.05,NA
02/06/1998,-1.02,-1.99,NA
03/06/1998,-0.89,-1.8,NA
04/06/1998,-0.89,-1.83,NA
05/06/1998,-0.85,-1.9,NA
08/06/1998,-0.81,-1.88,NA
09/06/1998,-0.87,-1.98,NA
10/06/1998,-1.1,-2.18,NA
11/06/1998,-1.12,-2.07,NA
12/06/1998,-1.29,-2.23,NA
15/06/1998,-1.54,-2.39,NA
16/06/1998,-1.52,-2.44,NA
17/06/1998,-1.22,-2.26,NA
18/06/1998,-1.09,-2.11,NA
19/06/1998,-1.13,-2.1,NA
22/06/1998,-1.24,-2.23,NA
23/06/1998,-1.21,-2.26,NA
24/06/1998,-1.21,-2.33,NA
25/06/1998,-1.17,-2.31,NA
26/06/1998,-1.28,-2.43,NA
29/06/1998,-1.26,-2.49,NA
30/06/1998,-1.15,-2.39,NA
01/07/1998,-1.02,-2.38,NA
02/07/1998,-0.91,-2.21,NA
03/07/1998,-0.82,-2.11,NA
06/07/1998,-0.86,-2.13,NA
07/07/1998,-0.8,-2.07,NA
08/07/1998,-0.83,-2.17,NA
09/07/1998,-0.84,-2.12,NA
10/07/1998,-0.91,-2.19,NA
13/07/1998,-0.86,-2.16,NA
14/07/1998,-0.67,-2.01,NA
15/07/1998,-0.55,-1.86,NA
16/07/1998,-0.41,-1.72,NA
17/07/1998,-0.29,-1.59,NA
20/07/1998,-0.22,-1.49,NA
21/07/1998,-0.26,-1.43,NA
22/07/1998,-0.41,-1.53,NA
23/07/1998,-0.53,-1.52,NA
24/07/1998,-0.57,-1.53,NA
27/07/1998,-0.76,-1.64,NA
28/07/1998,-0.82,-1.63,NA
29/07/1998,-0.84,-1.6,NA
30/07/1998,-0.84,-1.66,NA
31/07/1998,-0.86,-1.59,NA
03/08/1998,-1.02,-1.66,NA
04/08/1998,-0.97,-1.42,NA
05/08/1998,-1.17,-1.64,NA
06/08/1998,-1.36,-1.82,NA
07/08/1998,-1.46,-1.9,NA
10/08/1998,-1.64,-1.98,NA
11/08/1998,-1.88,-2.13,NA
12/08/1998,-1.96,-2.27,NA
13/08/1998,-2.04,-2.37,NA
14/08/1998,-1.94,-2.18,NA
17/08/1998,-2.15,-2.43,NA
18/08/1998,-2.16,-2.55,NA
19/08/1998,-2.06,-2.41,NA
20/08/1998,-2.12,-2.39,NA
21/08/1998,-2.36,-2.48,NA
24/08/1998,-2.48,-2.61,NA
25/08/1998,-2.46,-2.63,NA
26/08/1998,-2.62,-2.7,NA
27/08/1998,-2.84,-2.69,NA
28/08/1998,-2.89,-2.66,NA
31/08/1998,-2.85,-2.39,NA
01/09/1998,-2.98,-2.7,NA
02/09/1998,-2.8,-2.52,NA
03/09/1998,-2.94,-2.58,NA
04/09/1998,-2.93,-2.52,NA
07/09/1998,-2.76,-2.35,NA
08/09/1998,-2.85,-2.65,NA
09/09/1998,-2.91,-2.58,NA
10/09/1998,-3.11,-2.54,NA
11/09/1998,-3.24,-2.75,NA
14/09/1998,-3.19,-2.81,NA
15/09/1998,-3.13,-2.79,NA
16/09/1998,-3.1,-2.79,NA
17/09/1998,-3.21,-2.72,NA
18/09/1998,-3.26,-2.73,NA
21/09/1998,-3.39,-2.85,NA
22/09/1998,-3.3,-2.81,NA
23/09/1998,-3.22,-2.87,NA
24/09/1998,-3.08,-2.59,NA
25/09/1998,-3.17,-2.63,NA
28/09/1998,-3.12,-2.61,NA
29/09/1998,-3.14,-2.6,NA
30/09/1998,-3.25,-2.53,NA
01/10/1998,-3.42,-2.51,NA
02/10/1998,-3.48,-2.61,NA
05/10/1998,-3.53,-2.55,NA
06/10/1998,-3.44,-2.52,NA
07/10/1998,-3.38,-2.47,NA
08/10/1998,-3.32,-2.32,NA
09/10/1998,-3.2,-2.31,NA
12/10/1998,-3.05,-2.28,NA
13/10/1998,-3.03,-2.21,NA
14/10/1998,-3.08,-2.28,NA
15/10/1998,-2.99,-2.3,NA
16/10/1998,-2.85,-2.15,NA
19/10/1998,-2.88,-2.21,NA
20/10/1998,-2.75,-2.16,NA
21/10/1998,-2.75,-2.19,NA
22/10/1998,-2.76,-2.24,NA
23/10/1998,-2.72,-2.2,NA
26/10/1998,-2.67,-2.14,NA
27/10/1998,-2.64,-2.05,NA
28/10/1998,-2.68,-2.04,NA
29/10/1998,-2.67,-2.07,NA
30/10/1998,-2.52,-1.97,NA
02/11/1998,-2.32,-1.87,NA
03/11/1998,-2.27,-1.8,NA
04/11/1998,-2.16,-1.82,NA
05/11/1998,-2.14,-1.81,NA
06/11/1998,-2.06,-1.76,NA
09/11/1998,-2.06,-1.69,NA
10/11/1998,-2.17,-1.77,NA
11/11/1998,-2.05,-1.63,NA
12/11/1998,-2.11,-1.65,NA
13/11/1998,-2.06,-1.63,NA
16/11/1998,-1.87,-1.49,NA
17/11/1998,-1.8,-1.43,NA
18/11/1998,-1.73,-1.35,NA
19/11/1998,-1.61,-1.25,NA
20/11/1998,-1.43,-1.14,NA
23/11/1998,-1.3,-1.07,NA
24/11/1998,-1.27,-1.04,NA
25/11/1998,-1.3,-1.1,NA
26/11/1998,-1.24,-1.07,NA
27/11/1998,-1.19,-1.04,NA
30/11/1998,-1.2,-0.87,NA
01/12/1998,-1.36,-1.04,NA
02/12/1998,-1.32,-0.95,NA
03/12/1998,-1.32,-0.88,NA
04/12/1998,-1.3,-0.93,NA
07/12/1998,-1.05,-0.7,NA
08/12/1998,-1.03,-0.64,NA
09/12/1998,-1.01,-0.6,NA
10/12/1998,-0.8,-0.26,NA
11/12/1998,-0.88,-0.3,NA
14/12/1998,-0.88,-0.18,NA
15/12/1998,-0.85,-0.24,NA
16/12/1998,-0.83,-0.2,NA
17/12/1998,-0.89,-0.32,NA
18/12/1998,-0.86,-0.29,NA
21/12/1998,-0.62,-0.11,NA
22/12/1998,-0.6,-0.1,NA
23/12/1998,-0.57,-0.18,NA
24/12/1998,-0.5,-0.1,NA
25/12/1998,-0.5,-0.07,NA
28/12/1998,-0.53,-0.07,NA
29/12/1998,-0.67,-0.26,NA
30/12/1998,-0.68,-0.19,NA
31/12/1998,-0.71,-0.2,NA
01/01/1999,-0.74,-0.21,NA
04/01/1999,-0.56,-0.01,NA
05/01/1999,-0.44,0.11,NA
06/01/1999,-0.32,0.15,NA
07/01/1999,-0.19,0.38,NA
08/01/1999,-0.36,0.17,NA
11/01/1999,-0.41,0.16,NA
12/01/1999,-0.56,0.11,NA
13/01/1999,-1.11,-0.47,NA
14/01/1999,-1.25,-0.53,NA
15/01/1999,-1.18,-0.66,NA
18/01/1999,-1.04,-0.51,NA
19/01/1999,-1.02,-0.55,NA
20/01/1999,-0.9,-0.5,NA
21/01/1999,-1.04,-0.56,NA
22/01/1999,-1.27,-0.76,NA
25/01/1999,-1.43,-1.05,NA
26/01/1999,-1.34,-1.1,NA
27/01/1999,-1.15,-0.86,NA
28/01/1999,-1.14,-1.01,NA
29/01/1999,-1.12,-1.11,NA
01/02/1999,-0.88,-0.9,NA
02/02/1999,-0.81,-0.82,NA
03/02/1999,-0.77,-0.82,NA
04/02/1999,-0.64,-0.6,NA
05/02/1999,-0.62,-0.56,NA
08/02/1999,-0.64,-0.65,NA
09/02/1999,-0.61,-0.46,NA
10/02/1999,-0.54,-0.42,NA
11/02/1999,-0.36,-0.38,NA
12/02/1999,0,0.04,NA
15/02/1999,0.13,0.08,NA
16/02/1999,0.24,0.13,NA
17/02/1999,0.33,0.3,NA
18/02/1999,0.37,0.23,NA
19/02/1999,0.49,0.3,NA
22/02/1999,0.51,0.13,NA
23/02/1999,0.55,0.09,NA
24/02/1999,0.74,0.3,NA
25/02/1999,0.78,0.31,NA
26/02/1999,1.04,0.65,NA
01/03/1999,1.18,0.8,NA
02/03/1999,1.3,1,NA
03/03/1999,1.35,1.04,NA
04/03/1999,1.38,0.9,NA
05/03/1999,1.54,0.84,NA
08/03/1999,1.76,1.07,NA
09/03/1999,1.93,1.22,NA
10/03/1999,2.09,1.28,NA
11/03/1999,2.24,1.33,NA
12/03/1999,2.37,1.51,NA
15/03/1999,2.45,1.52,NA
16/03/1999,2.57,1.63,NA
17/03/1999,2.68,1.8,NA
18/03/1999,2.73,1.77,NA
19/03/1999,3.03,2.13,NA
22/03/1999,3.04,2.08,NA
23/03/1999,3.09,2.37,NA
24/03/1999,2.96,2.18,NA
25/03/1999,3.25,2.33,NA
26/03/1999,3.22,2.3,NA
29/03/1999,3.24,2.09,NA
30/03/1999,3.37,2.31,NA
31/03/1999,3.43,2.4,NA
01/04/1999,3.42,2.23,NA
02/04/1999,3.42,2.23,NA
05/04/1999,3.31,1.97,NA
06/04/1999,3.25,1.9,NA
07/04/1999,3.22,1.81,NA
08/04/1999,3.12,1.54,NA
09/04/1999,3.07,1.48,NA
12/04/1999,2.99,1.37,NA
13/04/1999,3.04,1.38,NA
14/04/1999,3.21,1.69,NA
15/04/1999,3.23,1.8,NA
16/04/1999,3.49,2.2,NA
19/04/1999,3.69,2.67,NA
20/04/1999,3.29,2.25,NA
21/04/1999,3.03,1.82,NA
22/04/1999,3.04,1.78,NA
23/04/1999,2.99,1.75,NA
26/04/1999,2.96,1.73,NA
27/04/1999,2.92,1.71,NA
28/04/1999,2.86,1.74,NA
29/04/1999,2.85,1.83,NA
30/04/1999,3.09,2.19,NA
03/05/1999,3.13,2.18,NA
04/05/1999,3.33,2.6,NA
05/05/1999,3.4,2.74,NA
06/05/1999,3.59,3,NA
07/05/1999,3.42,2.75,NA
10/05/1999,3.41,2.82,NA
11/05/1999,3.24,2.61,NA
12/05/1999,2.76,2.05,NA
13/05/1999,2.7,2.03,NA
14/05/1999,2.76,2.31,NA
17/05/1999,2.69,2.29,NA
18/05/1999,2.88,2.56,NA
19/05/1999,2.74,2.39,NA
20/05/1999,2.68,2.29,NA
21/05/1999,2.61,2.28,NA
24/05/1999,2.52,2.29,NA
25/05/1999,2.44,2.27,NA
26/05/1999,2.47,2.17,NA
27/05/1999,2.49,2.29,NA
28/05/1999,2.36,2.01,NA
31/05/1999,2.36,1.99,NA
01/06/1999,2.49,2.12,NA
02/06/1999,2.45,1.99,NA
03/06/1999,2.56,2.11,NA
04/06/1999,2.67,2.11,NA
07/06/1999,2.84,2.23,NA
08/06/1999,3.07,2.59,NA
09/06/1999,3.05,2.54,NA
10/06/1999,3.2,2.78,NA
11/06/1999,3.31,2.88,NA
14/06/1999,3.3,2.89,NA
15/06/1999,3.27,2.78,NA
16/06/1999,3.4,2.82,NA
17/06/1999,3.46,2.86,NA
18/06/1999,3.59,3.04,NA
21/06/1999,3.8,3.26,NA
22/06/1999,3.87,3.31,NA
23/06/1999,3.69,3.15,NA
24/06/1999,3.59,3.14,NA
25/06/1999,3.43,2.99,NA
28/06/1999,3.41,2.89,NA
29/06/1999,3.37,2.79,NA
30/06/1999,3.35,2.69,NA
01/07/1999,3.58,2.92,NA
02/07/1999,3.61,2.95,NA
05/07/1999,3.79,3.18,NA
06/07/1999,3.89,3.3,NA
07/07/1999,3.79,3.14,NA
08/07/1999,3.76,3.12,NA
09/07/1999,3.78,3.14,NA
12/07/1999,3.68,3.09,NA
13/07/1999,3.54,2.97,NA
14/07/1999,3.62,3.01,NA
15/07/1999,3.67,3.03,NA
16/07/1999,3.64,2.97,NA
19/07/1999,3.67,3.05,NA
20/07/1999,3.59,3.16,NA
21/07/1999,3.52,3.14,NA
22/07/1999,3.57,3.33,NA
23/07/1999,3.43,3.17,NA
26/07/1999,3.28,2.99,NA
27/07/1999,3.32,2.95,NA
28/07/1999,3.45,3.08,NA
29/07/1999,3.36,3.07,NA
30/07/1999,3.35,3.06,NA
02/08/1999,3.17,2.82,NA
03/08/1999,3.23,2.95,NA
04/08/1999,3.15,2.95,NA
05/08/1999,2.9,2.68,NA
06/08/1999,2.94,2.76,NA
09/08/1999,2.93,2.71,NA
10/08/1999,2.88,2.76,NA
11/08/1999,2.77,2.48,NA
12/08/1999,2.91,2.56,NA
13/08/1999,2.85,2.36,NA
16/08/1999,2.9,2.35,NA
17/08/1999,2.79,2.12,NA
18/08/1999,2.79,2.2,NA
19/08/1999,2.84,2.34,NA
20/08/1999,2.91,2.31,NA
23/08/1999,3.11,2.43,NA
24/08/1999,3.12,2.42,NA
25/08/1999,3.25,2.57,NA
26/08/1999,3.16,2.59,NA
27/08/1999,3.17,2.65,NA
30/08/1999,3.23,2.82,NA
31/08/1999,3.17,2.95,NA
01/09/1999,3.16,2.83,NA
02/09/1999,3.08,2.84,NA
03/09/1999,3,2.59,NA
06/09/1999,3.08,2.69,NA
07/09/1999,3.03,2.64,NA
08/09/1999,2.88,2.47,NA
09/09/1999,2.97,2.55,NA
10/09/1999,3.06,2.68,NA
13/09/1999,3.01,2.73,NA
14/09/1999,2.97,2.77,NA
15/09/1999,2.8,2.67,NA
16/09/1999,2.53,2.43,NA
17/09/1999,2.45,2.3,NA
20/09/1999,2.45,2.24,NA
21/09/1999,2.38,2.33,NA
22/09/1999,2.24,2.29,NA
23/09/1999,2.18,2.33,NA
24/09/1999,1.97,2.26,NA
27/09/1999,1.93,2.13,NA
28/09/1999,1.92,2.09,NA
29/09/1999,1.9,2.18,NA
30/09/1999,1.74,1.87,NA
01/10/1999,1.77,1.93,NA
04/10/1999,1.7,1.73,NA
05/10/1999,1.77,1.78,NA
06/10/1999,1.83,1.71,NA
07/10/1999,1.88,1.76,NA
08/10/1999,1.78,1.57,NA
11/10/1999,1.76,1.59,NA
12/10/1999,1.71,1.69,NA
13/10/1999,1.56,1.69,NA
14/10/1999,1.55,1.67,NA
15/10/1999,1.32,1.71,NA
18/10/1999,1.04,1.37,NA
19/10/1999,1.1,1.31,NA
20/10/1999,1.13,1.17,NA
21/10/1999,1.09,1.16,NA
22/10/1999,1.14,1.05,NA
25/10/1999,1.02,0.9,NA
26/10/1999,0.99,0.83,NA
27/10/1999,0.82,0.61,NA
28/10/1999,0.82,0.33,NA
29/10/1999,0.86,0.19,NA
01/11/1999,0.92,0.32,NA
02/11/1999,0.92,0.37,NA
03/11/1999,0.96,0.39,NA
04/11/1999,1.03,0.39,NA
05/11/1999,1.03,0.36,NA
08/11/1999,1.03,0.29,NA
09/11/1999,1.15,0.5,NA
10/11/1999,1.22,0.45,NA
11/11/1999,1.25,0.37,NA
12/11/1999,1.22,0.25,NA
15/11/1999,1.34,0.39,NA
16/11/1999,1.38,0.24,NA
17/11/1999,1.39,0.26,NA
18/11/1999,1.49,0.16,NA
19/11/1999,1.65,0.35,NA
22/11/1999,1.69,0.41,NA
23/11/1999,1.71,0.47,NA
24/11/1999,1.57,0.15,NA
25/11/1999,1.66,0.21,NA
26/11/1999,1.65,0.17,NA
29/11/1999,1.66,0.24,NA
30/11/1999,1.59,0.42,NA
01/12/1999,1.65,0.48,NA
02/12/1999,1.77,0.57,NA
03/12/1999,1.9,0.56,NA
06/12/1999,1.92,0.73,NA
07/12/1999,1.84,0.81,NA
08/12/1999,1.81,0.91,NA
09/12/1999,1.78,0.9,NA
10/12/1999,1.85,1.05,NA
13/12/1999,1.96,1.25,NA
14/12/1999,1.86,1.13,NA
15/12/1999,1.77,0.97,NA
16/12/1999,1.79,0.96,NA
17/12/1999,1.91,1.09,NA
20/12/1999,2.14,1.4,NA
21/12/1999,2.18,1.43,NA
22/12/1999,2.24,1.45,NA
23/12/1999,2.25,1.29,NA
24/12/1999,2.33,1.42,NA
27/12/1999,2.58,1.86,NA
28/12/1999,2.56,1.74,NA
29/12/1999,2.61,1.75,NA
30/12/1999,2.77,1.93,NA
31/12/1999,2.99,2.21,NA
03/01/2000,3.19,2.6,NA
04/01/2000,3.23,3.37,5.59
05/01/2000,2.87,2.92,5.57
06/01/2000,2.74,2.96,5.55
07/01/2000,2.9,2.8,5.55
10/01/2000,3.23,3.11,5.71
11/01/2000,3.14,2.96,5.72
12/01/2000,3.21,3.15,5.59
13/01/2000,3.51,3.5,5.51
14/01/2000,3.88,3.8,5.58
17/01/2000,4.01,3.87,5.63
18/01/2000,4.06,4.14,5.68
19/01/2000,3.72,3.6,6.01
20/01/2000,3.9,3.9,6.13
21/01/2000,3.84,3.79,6.3
24/01/2000,3.9,4.17,6.22
25/01/2000,3.64,3.74,6.23
26/01/2000,3.81,3.89,6.28
27/01/2000,4,4.05,6.26
28/01/2000,3.98,4.32,5.95
31/01/2000,3.6,3.52,5.45
01/02/2000,3.67,3.4,5.47
02/02/2000,3.87,3.54,5.18
03/02/2000,4.19,3.74,4.97
04/02/2000,4.57,4.24,5.56
07/02/2000,4.69,4.4,5.81
08/02/2000,4.9,4.58,5.65
09/02/2000,4.99,4.95,5.9
10/02/2000,5.06,5.03,6.24
11/02/2000,5.02,5.28,6.16
14/02/2000,4.74,4.87,6.06
15/02/2000,4.62,4.83,5.88
16/02/2000,4.69,4.98,5.77
17/02/2000,4.75,4.95,5.56
18/02/2000,4.59,5.24,5.38
21/02/2000,4.33,5.03,5.32
22/02/2000,4.12,4.87,4.96
23/02/2000,4.3,4.91,5.2
24/02/2000,4.39,5.21,4.98
25/02/2000,4.4,5.26,5.15
28/02/2000,4.03,4.58,5.15
29/02/2000,4.19,4.62,5.1
01/03/2000,4.49,4.9,5.08
02/03/2000,4.71,4.99,5.43
03/03/2000,4.86,5.05,5.47
06/03/2000,4.96,5.38,5.52
07/03/2000,5.04,5.84,5.66
08/03/2000,5.03,5.77,5.66
09/03/2000,5.23,5.88,5.47
10/03/2000,5.47,6.24,5.26
13/03/2000,4.97,5.79,4.93
14/03/2000,5.13,6.21,4.63
15/03/2000,4.89,5.74,4.29
16/03/2000,4.9,5.14,4.28
17/03/2000,5.04,5.21,4.21
20/03/2000,5.06,5.15,4.11
21/03/2000,5.06,4.83,3.9
22/03/2000,5.21,5,3.79
23/03/2000,5.39,5.17,3.52
24/03/2000,5.78,5.62,3.64
27/03/2000,5.85,5.63,3.53
28/03/2000,5.67,5.37,3.31
29/03/2000,5.64,5.22,3.24
30/03/2000,5.07,4.74,2.79
31/03/2000,5.17,4.83,2.63
03/04/2000,4.86,4.23,2.34
04/04/2000,4.75,4.19,1.9
05/04/2000,4.42,3.89,1.48
06/04/2000,4.84,4.45,1.55
07/04/2000,4.97,4.54,1.35
10/04/2000,5,4.68,1.13
11/04/2000,4.61,4.15,1.1
12/04/2000,4.66,4.52,1.17
13/04/2000,4.45,4.55,1
14/04/2000,3.89,5.1,0.76
17/04/2000,3.08,3.5,0.55
18/04/2000,3.33,3.38,0.67
19/04/2000,3.25,3.48,0.74
20/04/2000,3.3,3.42,0.84
21/04/2000,3.31,3.51,0.79
24/04/2000,3.1,3.13,0.74
25/04/2000,3.29,2.87,0.97
26/04/2000,3.4,3.25,0.89
27/04/2000,3.31,3.27,0.78
28/04/2000,3.53,3.74,0.69
01/05/2000,3.48,3.42,0.5
02/05/2000,3.56,3.74,0.43
03/05/2000,3.23,3.7,0.02
04/05/2000,3.08,3.48,-0.37
05/05/2000,3.04,3.18,-0.71
08/05/2000,2.86,3.08,-1.16
09/05/2000,2.67,3.21,-1.55
10/05/2000,2.28,3.02,-1.96
11/05/2000,2.15,2.67,-2.18
12/05/2000,2.22,2.53,-2.3
15/05/2000,2.07,2.09,-2.46
16/05/2000,2.3,2.28,-2.54
17/05/2000,2.04,2.16,-2.6
18/05/2000,1.91,2.03,-2.63
19/05/2000,1.44,1.82,-2.76
22/05/2000,0.95,1.31,-2.93
23/05/2000,0.76,1.14,-3.05
24/05/2000,0.62,0.71,-3.01
25/05/2000,0.75,1.14,-3.04
26/05/2000,0.6,1.07,-3.07
29/05/2000,0.62,1.07,-3.14
30/05/2000,0.84,1.01,-3.08
31/05/2000,0.85,1.14,-3.11
01/06/2000,0.96,1.02,-2.94
02/06/2000,1.3,1.36,-2.36
05/06/2000,1.19,1.23,-2.2
06/06/2000,1,1,-1.96
07/06/2000,0.91,0.79,-1.94
08/06/2000,0.88,0.89,-1.95
09/06/2000,0.85,0.95,-1.91
12/06/2000,0.73,0.92,-1.83
13/06/2000,0.55,0.42,-1.51
14/06/2000,0.49,0.39,-1.37
15/06/2000,0.3,0.15,-1.4
16/06/2000,0.09,0.11,-1.54
19/06/2000,0,-0.3,-1.61
20/06/2000,-0.02,-0.41,-1.68
21/06/2000,-0.08,-0.64,-1.6
22/06/2000,-0.19,-0.61,-1.85
23/06/2000,-0.28,-0.64,-1.86
26/06/2000,-0.43,-0.91,-1.98
27/06/2000,-0.51,-1.04,-1.97
28/06/2000,-0.51,-1.13,-1.89
29/06/2000,-0.83,-1.43,-1.94
30/06/2000,-0.72,-1.29,-1.72
03/07/2000,-0.67,-1.41,-1.53
04/07/2000,-0.71,-1.42,-1.52
05/07/2000,-0.81,-1.35,-1.43
06/07/2000,-0.83,-1.5,-1.2
07/07/2000,-0.76,-1.68,-1.31
10/07/2000,-0.71,-1.61,-1.22
11/07/2000,-0.83,-1.9,-1.17
12/07/2000,-0.7,-1.87,-1.1
13/07/2000,-0.73,-1.84,-1.14
14/07/2000,-0.64,-1.97,-1.04
17/07/2000,-0.54,-1.92,-1.03
18/07/2000,-0.66,-1.83,-0.92
19/07/2000,-0.76,-1.9,-0.96
20/07/2000,-0.8,-2,-1.12
21/07/2000,-0.92,-1.79,-0.89
24/07/2000,-1.04,-1.84,-0.81
25/07/2000,-1.12,-2.03,-0.74
26/07/2000,-1.17,-1.9,-0.71
27/07/2000,-1.42,-2.22,-0.84
28/07/2000,-1.57,-2.16,-0.99
31/07/2000,-1.5,-2.25,-0.99
01/08/2000,-1.48,-2.29,-1.14
02/08/2000,-1.5,-2.36,-1.01
03/08/2000,-1.61,-2.51,-0.82
04/08/2000,-1.53,-2.44,-0.67
07/08/2000,-1.52,-2.78,-0.42
08/08/2000,-1.51,-2.79,-0.33
09/08/2000,-1.44,-2.64,-0.24
10/08/2000,-1.43,-2.49,-0.13
11/08/2000,-1.34,-2.48,-0.2
14/08/2000,-1.21,-2.42,-0.33
15/08/2000,-1.23,-2.46,-0.31
16/08/2000,-1.23,-2.43,-0.34
17/08/2000,-1.27,-2.55,-0.39
18/08/2000,-1.38,-2.68,-0.76
21/08/2000,-1.41,-2.82,-0.88
22/08/2000,-1.36,-2.82,-0.86
23/08/2000,-1.4,-3.01,-0.89
24/08/2000,-1.39,-3.05,-0.84
25/08/2000,-1.34,-3.1,-0.78
28/08/2000,-1.3,-3.24,-0.74
29/08/2000,-1.28,-3.24,-0.73
30/08/2000,-1.33,-3.21,-0.75
31/08/2000,-1.34,-3.25,-0.94
01/09/2000,-1.29,-3.2,-0.83
04/09/2000,-1.22,-3,-0.81
05/09/2000,-1.32,-2.89,-0.82
06/09/2000,-1.4,-2.8,-0.74
07/09/2000,-1.46,-2.94,-0.78
08/09/2000,-1.61,-2.98,-0.84
11/09/2000,-1.75,-3.02,-0.76
12/09/2000,-1.86,-3.01,-0.76
13/09/2000,-1.94,-3.03,-0.77
14/09/2000,-1.87,-2.88,-0.48
15/09/2000,-1.94,-2.81,-0.18
18/09/2000,-2.2,-3.03,-0.04
19/09/2000,-2.17,-3.11,-0.07
20/09/2000,-2.13,-2.91,0.14
21/09/2000,-2.24,-2.96,0.15
22/09/2000,-2.42,-3.11,0.31
25/09/2000,-2.19,-2.66,0.47
26/09/2000,-2.26,-2.55,0.61
27/09/2000,-2.24,-2.39,0.75
28/09/2000,-2.22,-2.6,0.78
29/09/2000,-2.19,-2.44,0.9
02/10/2000,-2.14,-2.47,1.04
03/10/2000,-2.05,-2.34,1.23
04/10/2000,-2.06,-2.53,1.11
05/10/2000,-2,-2.48,0.66
06/10/2000,-2.05,-2.29,0.66
09/10/2000,-2.18,-2.39,0.72
10/10/2000,-2.18,-2.22,0.5
11/10/2000,-2.38,-2.19,0.32
12/10/2000,-2.49,-2.11,0.22
13/10/2000,-2.47,-2.49,0.15
16/10/2000,-2.29,-2.23,0.23
17/10/2000,-2.45,-2.19,0.04
18/10/2000,-2.64,-2.32,0.02
19/10/2000,-2.34,-2.27,0.15
20/10/2000,-2.22,-2.2,0.21
23/10/2000,-2.28,-2.28,0.24
24/10/2000,-2.1,-2.14,0.4
25/10/2000,-2.21,-2.1,0.47
26/10/2000,-2.23,-2.17,0.64
27/10/2000,-2.14,-2.18,0.68
30/10/2000,-2.19,-2.35,0.84
31/10/2000,-2.04,-2.39,1.09
01/11/2000,-1.95,-2.21,1.18
02/11/2000,-1.9,-2.15,1.35
03/11/2000,-1.84,-2.05,1.45
06/11/2000,-1.79,-2.08,1.53
07/11/2000,-1.79,-2.1,1.72
08/11/2000,-1.85,-2.07,1.8
09/11/2000,-1.95,-2.05,1.75
10/11/2000,-2.03,-1.87,1.89
13/11/2000,-2.24,-2,1.79
14/11/2000,-2,-2,1.91
15/11/2000,-1.96,-2.02,1.93
16/11/2000,-2.07,-1.97,1.89
17/11/2000,-2.09,-1.93,1.82
20/11/2000,-2.27,-1.94,1.73
21/11/2000,-2.25,-1.96,1.3
22/11/2000,-2.46,-1.89,1.25
23/11/2000,-2.49,-2,1.18
24/11/2000,-2.34,-1.94,1.11
27/11/2000,-2.26,-1.94,0.95
28/11/2000,-2.46,-2.08,0.75
29/11/2000,-2.55,-2.25,0.68
30/11/2000,-2.84,-2.42,0.5
01/12/2000,-2.74,-2.38,0.61
04/12/2000,-2.84,-2.51,0.52
05/12/2000,-2.52,-2.33,0.66
06/12/2000,-2.49,-1.93,0.47
07/12/2000,-2.58,-1.93,0.34
08/12/2000,-2.4,-1.86,0.3
11/12/2000,-2.3,-1.95,0.24
12/12/2000,-2.39,-2.01,0.22
13/12/2000,-2.49,-2.05,0.25
14/12/2000,-2.61,-1.89,0.12
15/12/2000,-2.84,-1.85,-0.18
18/12/2000,-2.81,-1.87,-0.16
19/12/2000,-2.78,-1.71,-0.18
20/12/2000,-3.1,-1.64,-0.16
21/12/2000,-3.2,-1.74,-0.6
22/12/2000,-3.06,-1.7,-0.93
25/12/2000,-3.06,-1.79,-0.97
26/12/2000,-3.05,-1.85,-0.98
27/12/2000,-3,-1.94,-1.06
28/12/2000,-2.92,-1.92,-1.14
