,Daily Global Risk Appetite,Equity-Only Risk Appetite,US Credit Risk Appetite (New)
03/09/2009,3.9,5.49,4.55
04/09/2009,4.05,5.46,4.74
07/09/2009,4.12,5.53,4.86
08/09/2009,4.22,5.79,5.08
09/09/2009,4.23,5.65,5.32
10/09/2009,4.29,5.57,5.48
11/09/2009,4.29,5.78,5.68
14/09/2009,4.22,5.44,5.89
15/09/2009,4.3,5.68,6.1
16/09/2009,4.44,5.93,6.26
17/09/2009,4.38,5.84,6.36
18/09/2009,4.3,5.72,6.42
21/09/2009,4.13,5.35,6.56
22/09/2009,4.18,5.8,6.64
23/09/2009,4.02,5.42,5.99
24/09/2009,3.89,5.18,6
25/09/2009,3.73,5.31,5.98
28/09/2009,3.83,5.24,5.63
29/09/2009,3.85,5.39,5.52
30/09/2009,3.76,5.23,5.41
01/10/2009,3.42,5.37,5.35
02/10/2009,3.17,5.29,5.32
05/10/2009,3.27,5.53,5.56
06/10/2009,3.49,5.88,5.7
07/10/2009,3.47,5.75,5.67
08/10/2009,3.64,5.94,5.76
09/10/2009,3.92,6.41,5.77
12/10/2009,3.98,6.45,6.03
13/10/2009,3.9,6.79,6.03
14/10/2009,4.14,7.15,6.07
15/10/2009,4.09,6.8,6.02
16/10/2009,3.91,6.47,5.91
19/10/2009,4.08,6.7,5.85
20/10/2009,3.99,6.56,5.79
21/10/2009,3.87,6.35,5.82
22/10/2009,3.8,6.1,5.74
23/10/2009,3.67,6.17,5.64
26/10/2009,3.52,6.15,5.61
27/10/2009,3.3,5.67,5.52
28/10/2009,2.85,4.88,5.43
29/10/2009,3.12,5.23,5.35
30/10/2009,2.67,4.79,5.26
02/11/2009,2.72,4.85,5.25
03/11/2009,2.65,4.48,5.11
04/11/2009,2.86,4.88,5.01
05/11/2009,3.02,4.85,4.9
06/11/2009,2.96,4.66,4.9
09/11/2009,3.25,5.01,5.01
10/11/2009,3.14,4.88,4.85
11/11/2009,3.12,4.82,4.73
12/11/2009,3,4.34,4.6
13/11/2009,2.99,4.15,4.47
16/11/2009,3.09,4.27,4.37
17/11/2009,2.95,3.99,4.23
18/11/2009,2.94,4.05,4.12
19/11/2009,2.66,3.82,4
20/11/2009,2.52,3.7,3.9
23/11/2009,2.73,3.88,3.8
24/11/2009,2.6,3.65,3.74
25/11/2009,2.6,3.62,3.65
26/11/2009,2.21,3.02,3.55
27/11/2009,2.01,3.16,3.34
30/11/2009,1.91,2.91,3.26
01/12/2009,2.22,3.14,3.28
02/12/2009,2.3,3.37,3.21
03/12/2009,2.31,3.35,3.25
04/12/2009,2.44,3.42,3.24
07/12/2009,2.37,3.23,3.19
08/12/2009,2.11,2.93,3.12
09/12/2009,2.03,2.66,3.11
10/12/2009,2.19,2.9,3.17
11/12/2009,2.33,2.85,3.2
14/12/2009,2.46,2.95,3.3
15/12/2009,2.44,2.91,3.36
16/12/2009,2.6,2.95,3.25
17/12/2009,2.36,2.67,3.2
18/12/2009,2.33,2.52,3.24
21/12/2009,2.59,2.36,3.37
22/12/2009,2.83,2.41,3.46
23/12/2009,2.99,2.51,3.47
24/12/2009,3.17,2.42,3.57
25/12/2009,3.3,2.62,3.6
28/12/2009,3.52,2.71,3.63
29/12/2009,3.6,2.9,3.67
30/12/2009,3.56,2.91,3.7
31/12/2009,3.54,3.2,3.75
01/01/2010,3.56,3.06,3.75
04/01/2010,3.87,3.17,3.92
05/01/2010,3.89,3.31,3.99
06/01/2010,3.9,3.18,4.02
07/01/2010,3.82,2.96,4.15
08/01/2010,3.83,2.91,4.13
11/01/2010,3.88,3.28,4.13
12/01/2010,3.64,2.91,4.08
13/01/2010,3.59,2.81,4.05
14/01/2010,3.59,2.72,4
15/01/2010,3.32,2.54,4.31
18/01/2010,3.24,2.66,4.77
19/01/2010,3.23,2.4,4.68
20/01/2010,2.82,2.08,4.62
21/01/2010,2.39,1.88,4.47
22/01/2010,1.97,1.78,4.35
25/01/2010,1.81,1.7,4.23
26/01/2010,1.55,1.4,4.17
27/01/2010,1.35,1.12,4.09
28/01/2010,1.23,1.52,3.99
29/01/2010,1.14,1.82,3.92
01/02/2010,1.23,1.58,3.9
02/02/2010,1.37,1.42,3.87
03/02/2010,1.35,1.57,3.91
04/02/2010,0.76,1.23,3.78
05/02/2010,0.38,0.49,3.6
08/02/2010,0.28,0.46,3.59
09/02/2010,0.43,0.56,3.51
10/02/2010,0.46,0.62,3.47
11/02/2010,0.52,0.48,3.46
12/02/2010,0.44,0.41,3.4
15/02/2010,0.43,0.5,3.38
16/02/2010,0.65,0.47,3.36
17/02/2010,0.85,0.59,3.36
18/02/2010,0.94,0.4,3.43
19/02/2010,0.95,0.26,3.49
22/02/2010,1.04,0.36,3.57
23/02/2010,0.75,0.32,3.55
24/02/2010,0.69,0.01,3.55
25/02/2010,0.42,-0.3,3.51
26/02/2010,0.56,-0.01,3.27
01/03/2010,0.74,0.01,3.41
02/03/2010,0.82,0.14,3.43
03/03/2010,0.85,0.21,3.38
04/03/2010,0.72,0,3.41
05/03/2010,0.95,0,3.59
08/03/2010,1.06,0.14,3.62
09/03/2010,0.99,0.05,3.65
10/03/2010,1.1,0.18,3.71
11/03/2010,1.08,-0.06,3.67
12/03/2010,1.12,0.01,3.68
15/03/2010,0.98,-0.22,3.64
16/03/2010,1.12,-0.06,3.68
17/03/2010,1.24,0.08,3.73
18/03/2010,1.12,-0.18,3.75
19/03/2010,1.04,-0.3,3.71
22/03/2010,0.95,-0.58,3.68
23/03/2010,1.05,-0.52,3.67
24/03/2010,1.12,-0.52,3.71
25/03/2010,1.22,-0.4,3.75
26/03/2010,1.18,-0.55,3.64
29/03/2010,1.23,-0.61,3.72
30/03/2010,1.21,-0.7,3.76
31/03/2010,1.12,-0.73,3.74
01/04/2010,1.33,-0.57,3.9
02/04/2010,1.31,-0.62,3.92
05/04/2010,1.45,-0.7,3.93
06/04/2010,1.49,-0.65,3.93
07/04/2010,1.38,-0.61,3.9
08/04/2010,1.18,-0.99,3.88
09/04/2010,1.33,-0.91,3.86
12/04/2010,1.35,-0.9,3.79
13/04/2010,1.22,-1.13,3.75
14/04/2010,1.42,-1.07,3.76
15/04/2010,1.44,-1.2,3.81
16/04/2010,1.11,-1.16,3.63
19/04/2010,0.86,-1.59,3.52
20/04/2010,1.08,-1.44,3.36
21/04/2010,1.02,-1.44,3.26
22/04/2010,0.79,-1.74,3.22
23/04/2010,0.94,-1.69,3.17
26/04/2010,1.08,-1.5,3.04
27/04/2010,0.58,-1.52,2.83
28/04/2010,0.3,-2.05,2.79
29/04/2010,0.52,-1.8,2.82
30/04/2010,0.54,-1.36,2.69
03/05/2010,0.51,-1.78,2.7
04/05/2010,-0.06,-1.97,2.46
05/05/2010,-0.47,-2.49,2.17
06/05/2010,-0.91,-2.22,1.42
07/05/2010,-1.38,-2.48,1.13
10/05/2010,-0.32,-1.9,1.6
11/05/2010,-0.45,-1.97,1.54
12/05/2010,-0.2,-1.87,1.68
13/05/2010,-0.19,-1.79,1.72
14/05/2010,-0.73,-2.02,1.28
17/05/2010,-0.86,-2.18,1.26
18/05/2010,-0.8,-1.67,1.11
19/05/2010,-1.29,-2.24,0.9
20/05/2010,-1.83,-2.18,0.54
21/05/2010,-1.8,-2.2,0.42
24/05/2010,-1.83,-2.01,0.36
25/05/2010,-2.35,-2.7,-0.03
26/05/2010,-1.88,-1.81,0.14
